Colombia,Venezuela,Mexico,Argentina
437.07,48.92,4.5,0.59
-10.48,8.69,2.99,0.39
42.76,10.98,3.37,0.57
48.45,8.01,2.87,0.4
-38.72,6.48,5.84,0.37
182.15,40.97,8.99,0.59
-1640.51,154.13,69,0.68
-22.9,2.08,1.49,0.38
-0.17,3.8,1.49,0.38
2.28,3.69,0.5,0.38
36.64,2.88,0.5,0.39
216.12,25.38,8.99,0.5
-13.33,5.74,5.01,0.39
45.51,2.89,0.5,0.38
32.86,48.91,5.81,0.38
-6.22,2.58,1.3,0.59
10.91,2.88,1.49,0.36
82.3,3.75,0.5,0.37
-30.26,1.86,2.58,0.82
-186.33,65.99,19.99,0.59
-35.94,11.97,4.98,0.58
302.8,28.53,1.49,0.38
-12.46,15.28,1.99,0.42
958.8,136.98,24.49,0.59
813.35,30.93,3.92,0.44
176.04,110.98,30,0.71
372.26,51.94,19.99,0.44
212.06,19.98,8.68,0.37
545.11,78.69,19.99,0.43
74.64,28.53,1.49,0.38
-170.53,65.99,3.99,0.59
109.16,22.98,7.58,0.51
-234.59,179.29,56.2,0.71
4.79,11.09,5.25,0.36
649.8,48.04,7.23,0.37
1660.15,161.55,19.99,0.66
-43.45,5.81,3.37,0.54
-41.75,29.74,6.64,0.7
-117.27,3.81,5.44,0.36
-1115.99,95.95,74.35,0.57
48.59,7.89,2.82,0.4
-153.25,124.49,51.94,0.63
-44.81,19.99,11.17,0.6
-27.72,16.91,6.25,0.58
-32.06,5.81,3.37,0.54
-65.33,26.31,5.89,0.75
14.01,110.99,8.99,0.57
-160.46,100.98,35.84,0.62
16.81,150.98,13.99,0.38
1680.79,140.99,4.2,0.59
300.97,59.98,3.99,0.57
45,14.58,7.4,0.48
366.48,31.78,1.99,0.42
-2.06,2.78,1.34,0.45
-712.14,60.98,49,0.59
973.16,125.99,8.08,0.57
676.13,125.99,8.8,0.59
67.84,276.2,24.49,0.37
-303.62,43.31,15.9,0.75
-264.28,125.99,8.99,0.55
-20.33,5.78,7.64,0.36
20.23,45.99,4.99,0.56
-99.34,30.98,4,0.8
-77.34,4.13,5.34,0.38
-662.8,130.98,54.74,0.69
-59.91,3.14,1.92,0.84
424.36,27.18,8.23,0.38
97.16,73.98,4,0.77
-20.65,3.68,1.32,0.83
103.83,355.98,58.92,0.64
-98.3,160.98,30,0.62
539.54,280.98,35.67,0.66
220.39,179.99,19.99,0.48
-99.34,6.84,8.37,0.58
107.93,35.89,14.72,0.4
29.33,6.75,2.99,0.35
-75.71,6.78,6.18,0.39
-21.77,5.78,5.67,0.36
67.86,14.48,6.46,0.38
1234.57,420.98,19.99,0.35
-7.86,7.31,0.49,0.38
-801.09,130.98,54.74,0.69
223.76,48.91,5.81,0.38
506.86,111.03,8.64,0.78
191.47,208.16,68.02,0.58
68.89,20.24,6.67,0.49
33.8,5.84,1.2,0.55
15.82,3.69,0.5,0.38
71.77,3.69,0.5,0.38
-47.75,3.14,1.92,0.84
-122.77,49.43,19.99,0.57
-44.18,83.93,19.99,0.38
-243.02,73.98,14.52,0.65
-33.93,10.01,1.99,0.41
-98.31,4.91,4.97,0.38
-164.59,140.81,24.49,0.57
88.8,5.58,0.7,0.6
-210.97,180.98,26.2,0.59
-28.15,6.48,5.19,0.37
2.3,40.98,5.33,0.57
-635.69,599.99,24.49,0.44
938.26,40.99,5.86,0.36
-157.44,15.31,8.78,0.57
-245.56,35.99,5,0.85
-70.54,16.99,8.99,0.56
423.87,39.24,1.99,0.51
87.96,8.01,2.87,0.4
-142.3,6.48,8.73,0.37
-639.47,140.98,36.09,0.77
1733.47,120.98,9.07,0.35
-106.51,85.99,0.99,0.85
-647.14,71.37,69,0.68
59.84,6.98,1.6,0.38
9.72,20.97,4,0.77
-94.36,4.28,4.79,0.4
-277.78,115.99,5.26,0.57
1063.46,284.98,69.55,0.6
-63.19,1.8,4.79,0.37
50.66,4.98,0.49,0.39
-63.7,20.99,0.99,0.57
-54.75,4.28,5.68,0.4
-871.52,376.13,85.63,0.74
455.02,424.21,110.2,0.67
-554.44,195.99,8.99,0.6
-112.62,113.98,30,0.69
-147.81,30.73,4,0.75
307.64,47.9,5.86,0.37
89.6,17.67,8.99,0.47
3.31,20.99,4.81,0.58
813.49,291.73,48.8,0.56
45.14,4.98,0.8,0.36
453.65,125.99,7.69,0.59
-20.65,1.88,1.49,0.37
-521.09,152.48,4,0.79
-146.97,4.13,5.04,0.38
5.9,4.48,2.5,0.37
-72.43,7.28,3.52,0.68
9.24,3.8,1.49,0.38
1512.07,300.98,64.73,0.56
-41.26,5.4,7.78,0.37
-97.23,5.98,5.46,0.36
-6.33,3.95,2,0.53
116.1,160.98,30,0.62
-87.96,17.98,4,0.79
311.64,115.99,8.99,0.58
-151.46,120.98,30,0.64
24.28,2.61,0.5,0.39
-147.27,6.48,9.54,0.37
154.74,40.97,14.45,0.57
67.96,16.48,1.99,0.42
133.83,20.24,6.67,0.49
153.8,18.97,9.03,0.37
1275.91,125.99,8.99,0.55
-432.46,70.98,30,0.73
909.36,517.48,16.63,0.59
300.91,23.99,6.3,0.38
520.41,42.98,4.62,0.56
-444.14,89.99,42,0.66
34.03,20.95,4,0.6
1268.65,161.55,19.99,0.66
332.97,49.99,19.99,0.41
-38.23,3.98,2.97,0.35
-4437.91,699.99,24.49,0.41
-154.81,3.81,5.44,0.36
-15.74,7.68,6.16,0.35
-185.54,6.48,8.73,0.37
-83.18,28.48,1.99,0.4
167.58,28.48,1.99,0.4
496.89,65.99,4.99,0.58
-98.35,4.98,4.62,0.64
565.37,34.23,5.02,0.55
138.37,43.98,8.99,0.58
136.32,51.75,19.99,0.55
-252.48,65.99,3.99,0.59
-60.65,6.48,7.37,0.37
-12.78,11.48,5.43,0.36
-22.55,6.68,5.66,0.37
0.82,11.58,6.97,0.35
16.8,2.62,0.8,0.39
8.3,8.5,1.99,0.49
5.95,7.4,1.71,0.4
2.61,4.26,1.2,0.44
257.76,155.99,8.08,0.6
-291.59,6.48,10.05,0.37
1408.19,122.99,19.99,0.37
-1069.72,68.81,60,0.41
-13.78,8.6,6.19,0.38
3724.57,896.99,19.99,0.38
-57.88,4.24,5.41,0.35
-20.55,420.98,19.99,0.35
-74.21,11.97,5.81,0.6
-127.3,113.98,30,0.69
-52.77,6.48,6.86,0.37
483.97,65.99,3.99,0.59
-98.05,3.28,5,0.56
6.14,3.29,1.35,0.4
-1642.65,4.48,49,0.6
-42.46,7.1,6.05,0.39
-83.66,5.58,5.3,0.35
-521.42,68.81,60,0.41
-71.47,5.98,5.35,0.4
2848.17,300.65,24.49,0.52
-94.82,5.78,5.37,0.36
-15.34,1.74,4.08,0.53
-39.74,7.28,3.52,0.68
-80.2,14.03,9.37,0.56
1724.68,315.98,19.99,0.38
1020.32,142.86,19.99,0.56
559.11,55.99,1.25,0.55
-1448.83,90.98,56.2,0.74
-1760.57,218.75,69.64,0.77
-455.8,140.98,36.09,0.77
-149.46,8.74,8.29,0.38
-16.89,20.48,6.32,0.58
25.51,15.67,1.39,0.38
22.63,2.88,0.5,0.39
-223.59,348.21,40.19,0.62
51.18,31.11,3.6,0.64
-1.97,1.48,0.7,0.37
-39,20.28,14.39,0.47
303.53,65.99,2.79,0.56
4604.79,363.25,19.99,0.57
60.61,18.94,1.49,0.35
-502.81,510.14,14.7,0.56
-4.69,4.76,3.01,0.36
101.8,6.3,0.5,0.39
99.31,20.95,4,0.6
-673.31,79.52,48.2,0.74
371.21,125.99,3,0.59
-154.45,140.81,24.49,0.57
-176.79,195.99,4.2,0.6
180.78,85.99,2.79,0.58
-390.77,152.48,4,0.79
51.5,14.58,7.4,0.48
-94.78,7.38,5.21,0.56
-197.39,6.48,9.54,0.37
-49.32,5.74,5.01,0.39
-27.47,17.98,8.51,0.4
107.45,39.98,4,0.7
-89.2,35.99,5.99,0.38
83.57,65.99,5.92,0.58
28.29,4.55,1.49,0.35
-345.36,40.48,19.99,0.77
-36.11,12.44,6.27,0.57
2014.82,100.97,14,0.37
-1197.58,122.99,70.2,0.74
1.07,15.04,1.97,0.39
168.22,20.99,0.99,0.57
-58.81,30.98,6.5,0.64
4.85,2.88,0.7,0.56
19.04,3.38,0.85,0.48
2820.44,258.98,54.31,0.55
-870.61,70.71,37.58,0.78
675.65,39.48,1.99,0.54
1.31,2.78,1.49,0.39
-11.13,10.48,2.89,0.6
375.02,18.65,3.77,0.39
-141.51,6.48,7.49,0.37
-821.87,89.99,42,0.66
24.87,5.08,2.03,0.51
-144.87,100.98,35.84,0.62
768.32,65.99,4.2,0.55
60.63,3.78,0.71,0.39
16.33,5.98,2.5,0.36
-132.15,43.22,4,0.64
-201.05,65.99,19.99,0.59
571.54,65.99,7.69,0.59
223.25,125.99,8.99,0.59
48.13,14.56,3.5,0.58
353.72,270.97,28.06,0.56
-66.78,27.48,4,0.75
41.31,6.98,2.83,0.37
-45.75,5.98,5.35,0.4
1207.91,60.98,1.99,0.5
16.1,3.08,0.99,0.37
221.59,10.31,1.79,0.38
1912.92,150.98,13.99,0.38
-191.09,9.71,9.45,0.6
-156.47,80.98,35,0.81
-9.82,1.88,1.49,0.37
301.31,29.89,1.99,0.5
-21.09,14.98,8.99,0.39
-172.4,4.14,6.6,0.49
883.29,260.98,41.91,0.59
-30.42,10.52,7.94,0.52
-107.37,5.98,7.5,0.4
1.61,2.89,0.5,0.38
-9.05,1.88,1.49,0.37
768.06,160.98,30,0.62
-15.42,3.28,3.97,0.56
11.82,10.98,3.37,0.57
-104.82,10.97,6.5,0.64
1462.72,199.99,24.49,0.46
-143.7,9.06,9.86,0.4
2861.01,194.3,11.54,0.59
87.51,45.19,1.99,0.55
3392.88,256.99,11.25,0.51
-7.73,3.95,2,0.53
42.5,30.98,8.74,0.4
-895.24,4.48,49,0.6
-506.43,150.89,60.2,0.77
-21.73,11.97,4.98,0.58
-100.15,9.48,7.29,0.45
-12.88,5.98,5.79,0.36
130.8,43.98,8.99,0.58
-31.45,2.23,4.57,0.41
-818.77,124.49,51.94,0.63
-1142.2,100.98,57.38,0.78
39.64,10.14,2.27,0.36
-318.45,209.37,69,0.79
-41.7,4.98,4.7,0.38
-582.43,145.98,51.92,0.69
145.48,42.98,4.62,0.56
-36.6,5.08,3.63,0.51
-21.29,4.06,6.89,0.6
-37.39,15.28,10.91,0.36
-128.69,9.99,11.59,0.4
931.7,48.04,5.79,0.37
-10.77,6.68,4.91,0.37
795.05,85.99,2.5,0.35
-74.64,29.89,1.99,0.5
-29.56,30.97,4,0.74
-103.77,6.48,6.22,0.37
-80.41,6.48,7.37,0.37
-58.87,1.7,1.99,0.51
142.98,55.99,1.25,0.35
30.17,16.91,6.25,0.58
2154.33,199.99,24.49,0.46
-54.36,4.98,4.86,0.38
-118.54,55.5,52.2,0.72
2963.48,442.14,14.7,0.56
-11.39,3.69,2.5,0.39
-49.81,20.28,14.39,0.47
344.61,30.93,3.92,0.44
322.66,297.48,18.06,0.6
-404.05,296.18,54.12,0.76
-207.36,5.78,7.96,0.36
315.16,40.99,5.86,0.36
-6.37,56.96,13.22,0.56
-261.45,8.37,10.16,0.59
-25.31,40.99,17.48,0.36
251.58,119.99,56.14,0.39
0.13,7.96,4.95,0.41
641.4,37.7,2.99,0.35
29.73,19.98,10.49,0.49
-6.82,2.08,1.49,0.38
-88.64,33.94,19.19,0.58
-16.94,13.79,8.78,0.43
4.9,125.99,8.8,0.59
914.19,125.99,2.5,0.6
1409.87,83.98,5.01,0.38
-265.12,159.31,60,0.55
20.76,10.98,3.37,0.57
275.93,348.21,84.84,0.66
-304.47,89.99,42,0.66
40.58,7.59,4,0.42
595.38,105.34,24.49,0.61
-7.15,2.08,1.49,0.36
232.78,180.98,30,0.69
68.9,53.98,5.5,0.62
-31.99,4.98,5.02,0.38
17.7,3.75,0.5,0.37
144.66,22.23,8.99,0.41
3909.33,270.97,28.06,0.56
-28.16,9.65,6.22,0.55
40.92,10.48,2.89,0.6
-10.95,2.08,1.49,0.38
3.9,4.82,1.49,0.36
-42.37,6.48,5.74,0.37
502.49,28.53,1.49,0.38
30.76,2.88,0.99,0.36
10.73,2.08,5.33,0.43
-316.32,65.99,2.5,0.56
165.33,34.23,5.02,0.55
226.72,65.99,5.26,0.59
-42.96,170.98,35.89,0.66
8504.47,400.97,48.26,0.36
-26.78,8.6,6.19,0.38
-56.71,16.06,8.34,0.59
169.89,23.99,6.3,0.38
-219.61,60.98,49,0.59
-34.43,40.97,14.45,0.57
-286.2,115.99,56.14,0.4
-21.66,10.89,4.5,0.59
674.46,31.78,1.99,0.42
-6.72,4.98,4.72,0.36
75.63,22.98,7.58,0.51
55.82,18.97,9.54,0.37
-89.88,5.28,5.66,0.4
-56.15,6.48,6.22,0.37
168.76,30.98,8.74,0.4
-96.7,6.48,6.22,0.37
-237.54,5.4,7.78,0.37
5.25,3.7,1.61,0.44
-1284.24,122.99,70.2,0.74
-391.92,3499.99,24.49,0.37
201.03,195.99,8.99,0.6
47.42,28.99,8.59,0.56
8.42,9.77,6.02,0.48
-178.82,6.48,9.68,0.36
49.67,12.28,5.09,0.38
-50.67,35.41,1.99,0.43
-20.79,30.73,4,0.75
1749.78,165.98,19.99,0.4
-49.53,5.98,5.14,0.36
-2.64,3.14,1.92,0.84
-19.26,22.98,7.58,0.51
371.28,37.74,2.9,0.59
-508.87,95.43,19.99,0.79
-150.26,4.13,5.34,0.38
-54.25,3.14,1.92,0.84
486.9,39.24,1.99,0.51
361.82,34.23,5.02,0.55
-30.06,6.48,6.22,0.37
1160.58,85.99,3.3,0.37
9.82,8.33,1.99,0.52
187.15,18.65,3.77,0.39
-43.74,17.98,8.51,0.4
9.95,9.99,4.78,0.4
-382.57,175.99,8.99,0.57
-64.41,7.68,6.16,0.35
598.24,291.73,48.8,0.56
257.31,19.98,5.77,0.38
3064.51,243.98,43.32,0.55
858.58,115.99,5.92,0.58
-149.41,167.27,35,0.85
-588.9,60.98,30,0.7
51.44,99.99,19.99,0.5
-192.56,4.18,6.92,0.49
-44.79,4.91,4.97,0.38
5.77,1.48,0.7,0.37
-47.69,8.12,2.83,0.77
-425.14,279.48,35,0.8
214.23,40.99,17.48,0.36
-83.55,9.38,7.28,0.57
-44.13,10.89,4.5,0.59
-67.22,28.48,1.99,0.4
-626.04,114.98,58.72,0.76
-226.51,212.6,52.2,0.64
-12.13,6.23,6.97,0.36
28.7,13.99,7.51,0.39
192.29,35.99,1.25,0.57
-13.95,28.15,8.99,0.57
12.73,11.99,5.99,0.36
-36.24,19.98,4,0.68
104.22,34.76,8.22,0.57
50.04,4.49,1.49,0.39
-132.93,5.98,7.5,0.4
107.02,14.2,5.3,0.46
-1561.72,71.37,69,0.68
1252.48,200.99,8.08,0.59
91.73,8.95,2.01,0.39
118.32,48.58,3.99,0.56
-124.42,25.98,14.36,0.6
-47.83,4.89,4.93,0.66
-686.01,70.98,46.74,0.56
129.87,11.55,2.36,0.55
-75.39,5.8,5.59,0.4
51.85,43.22,4,0.64
256.57,18.84,3.62,0.43
-45.21,2.6,2.4,0.58
341.53,37.94,5.08,0.38
473.36,85.99,2.79,0.58
-168.38,10.52,7.94,0.52
-223.21,65.99,5.31,0.57
3.96,3.75,0.5,0.37
134.85,47.98,3.61,0.71
548.92,55.48,14.3,0.37
-812.25,70.71,37.58,0.78
23.14,2.88,0.99,0.36
-1255.86,85.29,60,0.56
-60.17,6.48,5.94,0.37
-31.01,5.98,5.15,0.36
98.44,12.64,4.98,0.48
0.82,1.76,0.7,0.56
-305.98,130.98,54.74,0.69
-277.29,218.75,69.64,0.77
-83.75,22.84,16.92,0.39
421.15,100.98,26.22,0.6
39,11.09,5.25,0.36
-26.99,11.5,7.19,0.4
9097.65,599.99,24.49,0.37
-214.53,159.31,60,0.55
237.14,35.99,1.25,0.57
-208.02,4.28,6.72,0.4
-5.6,5.85,2.27,0.56
-5.57,15.98,4,0.37
-36.47,9.48,7.29,0.45
-79.42,6.54,5.27,0.36
749.22,43.41,2.99,0.39
-2.21,2.88,0.7,0.56
-337.92,220.98,64.66,0.62
220.91,38.76,13.26,0.36
-5.54,2.58,1.3,0.59
482.45,65.99,3.9,0.55
1882.2,294.62,42.52,0.57
435.95,20.99,0.99,0.37
8157.7,500.98,28.14,0.38
775.88,40.98,1.99,0.44
2374.73,195.99,4.2,0.56
-12.77,14.27,7.27,0.38
1669.38,159.99,5.5,0.49
-386.02,27.75,19.99,0.67
-800.25,205.99,8.99,0.6
-2561.32,1500.97,29.7,0.57
373.67,48.04,5.09,0.37
-6.2,4.28,1.6,0.58
-305.32,55.99,5,0.83
1.35,7.59,4,0.42
-11.94,40.98,2.99,0.36
6.6,15.94,5.45,0.55
539.54,280.98,35.67,0.66
-96.03,2.08,5.33,0.43
-115.08,370.98,99,0.65
771.83,41.94,2.99,0.35
-9.35,5.28,2.99,0.37
-27.99,21.38,8.99,0.59
-147.51,15.98,8.99,0.64
-40.98,27.42,19.46,0.44
-553.06,110.98,35,0.82
-471.26,212.6,110.2,0.73
4264.82,349.45,60,0.37
-103.63,130.98,30,0.78
1090.43,200.99,4.2,0.59
-167.06,3.95,5.13,0.59
670.96,80.98,7.18,0.48
-74.77,11.35,8.6,0.57
745.45,55.98,13.88,0.36
7513.88,880.98,44.55,0.62
1,1.82,0.83,0.57
2786.35,200.97,15.59,0.36
2366.51,150.98,13.99,0.38
-932.55,20.98,53.03,0.78
-310.24,85.99,0.99,0.85
-237.87,7.28,11.15,0.37
-9.13,14.89,13.56,0.58
565.18,80.97,30.06,0.4
-38.72,6.48,10.05,0.37
-152.47,83.1,6.13,0.45
181.98,19.98,5.77,0.38
1.16,10.64,5.16,0.57
-24.91,14.42,6.75,0.52
-126.34,279.81,23.19,0.59
20.44,5.84,0.83,0.49
253.14,180.98,55.24,0.57
-345.92,150.98,66.27,0.65
80.07,6.45,1.34,0.36
-18.72,1.89,0.76,0.83
-221.5,140.98,36.09,0.77
206.35,65.99,8.99,0.56
32.5,4.13,0.5,0.39
-3687.65,550.98,64.59,0.66
-221.56,20.89,11.52,0.83
-21.51,1.26,0.7,0.81
-233.56,65.99,8.99,0.58
59.4,4.13,0.5,0.39
-1046.78,150.89,60.2,0.77
531.69,120.98,30,0.64
216.43,15.68,3.73,0.46
112.97,18.99,5.23,0.37
-74.85,39.24,1.99,0.51
40.76,119.99,56.14,0.39
-849.18,80.98,35,0.83
-29.9,12.88,4.59,0.82
58.84,12.22,2.85,0.55
627.85,42.98,4.62,0.56
187.2,21.78,5.94,0.5
8.4,3.15,0.5,0.37
-64.87,40.98,1.99,0.44
309.31,35.44,7.5,0.38
206.27,10.31,1.79,0.38
-1.79,5.85,2.27,0.56
2028.36,205.99,5.99,0.59
-121.58,4.37,5.15,0.59
-474.91,3.48,49,0.59
364.99,20.98,1.49,0.35
39.36,115.79,1.99,0.49
-31.16,9.77,6.02,0.48
-1.56,1.76,0.7,0.56
180.8,200.98,23.76,0.58
-33.52,1.7,1.99,0.51
-12.95,1.82,0.83,0.57
470.3,160.98,30,0.62
105.91,6.3,0.5,0.39
62.46,4.98,0.8,0.36
289.88,420.98,19.99,0.35
-35.04,6.48,8.73,0.37
149.53,9.93,1.09,0.43
32.19,4.55,1.49,0.35
-93.3,17.99,8.65,0.57
699.64,35.44,4.92,0.38
1907.94,162.93,19.99,0.39
-663.51,399.98,12.06,0.56
2819.96,400.97,48.26,0.36
-90.9,5.74,5.01,0.39
-3381.99,1500.97,29.7,0.57
286.4,205.99,5.26,0.56
-14.03,35.89,14.72,0.4
-12.14,5.85,2.27,0.56
7.17,7.7,3.68,0.52
22.21,30.98,17.08,0.4
-10.21,10.23,4.68,0.59
14.61,30.98,8.99,0.58
33.81,7.59,4,0.42
271.5,104.85,19.99,0.37
323.73,43.98,1.99,0.44
-74.51,13.73,6.85,0.54
231.46,99.99,19.99,0.52
5.72,2.88,0.7,0.56
-503.8,64.65,35,0.8
-29.6,30.98,5.76,0.4
-56.22,6.68,5.66,0.37
6.02,10.98,3.37,0.57
336.47,99.99,19.99,0.52
5.03,5.98,2.5,0.36
25.16,4.91,0.5,0.36
137.67,6.3,0.5,0.39
-1799.35,122.99,70.2,0.74
63.78,6.88,2,0.39
41.3,9.99,4.78,0.4
8.06,2.18,0.78,0.52
-20.9,4.98,4.32,0.64
575.38,55.48,6.79,0.37
77.48,12.98,3.14,0.6
1085.93,48.04,7.23,0.37
751.58,145.45,17.85,0.56
-157.56,33.94,19.19,0.58
-29.54,13.43,5.5,0.57
-168.67,5.98,7.5,0.4
-202.31,6.48,8.73,0.37
42.45,5.98,0.96,0.6
35.33,17.48,1.99,0.45
58.17,65.99,8.99,0.6
54.21,4.13,0.5,0.39
-70.31,6.48,7.49,0.37
2.01,2.88,1.49,0.36
-136.55,3.95,5.13,0.59
704.89,195.99,8.99,0.6
-127,55.99,5,0.8
-67.49,3.58,5.47,0.37
-169.23,296.18,154.12,0.76
389.07,35.44,5.09,0.38
162.11,125.99,5.26,0.55
165.35,22.72,8.99,0.44
-30.11,1.81,1.56,0.49
720.45,63.94,14.48,0.46
-28.97,6.54,5.27,0.36
67.01,19.98,8.68,0.37
-931.25,70.89,89.3,0.69
29.8,55.99,3.3,0.59
-2136.66,122.99,70.2,0.74
-237.47,6.48,8.88,0.37
-2946.05,349.45,60,0.37
387.2,29.18,8.55,0.42
-684.78,80.98,35,0.83
-522.59,370.98,99,0.65
2311.96,195.99,8.99,0.6
991.26,78.69,19.99,0.43
-44.54,6.48,7.86,0.37
-24.03,3.28,2.31,0.56
-37.03,3.28,4.2,0.56
-0.71,3.58,1.63,0.36
285.11,3499.99,24.49,0.37
120.05,20.95,4,0.6
-117.39,30.98,6.5,0.79
217.87,51.75,19.99,0.55
1055.47,160.98,30,0.62
31.74,12.28,6.47,0.38
100.8,41.32,8.66,0.76
-101.19,113.98,30,0.69
9.29,5.68,1.39,0.38
-237.62,348.21,84.84,0.66
-54.08,4.98,4.95,0.37
13.44,7.59,4,0.42
6.67,2.18,0.78,0.52
-9.19,2.58,1.3,0.59
-11.02,6.84,8.37,0.58
238.52,100.98,15.66,0.57
846.95,65.99,5.92,0.55
51.47,18.7,8.99,0.47
-9.45,80.97,33.6,0.37
-117.86,9.06,9.86,0.4
-72.46,5.89,5.57,0.41
-684.07,124.49,51.94,0.63
194.32,896.99,19.99,0.38
206.86,100.97,7.18,0.46
-9.28,7.84,4.71,0.35
-181.01,115.99,2.5,0.58
10.94,12.22,2.85,0.55
700.31,54.96,10.75,0.36
15.74,7.78,2.5,0.38
-100.49,7.37,5.53,0.69
147.46,15.68,3.73,0.46
-17.95,5.18,5.74,0.36
-159.74,3.36,6.27,0.4
46.51,35.99,1.1,0.55
-17.45,15.22,9.73,0.36
-3404.24,130.98,130,0.78
-53.69,195.99,3.99,0.59
-157.76,6.48,7.03,0.37
-1.84,5.58,2.99,0.37
-26.49,39.98,7.12,0.67
708.76,125.99,8.99,0.59
149.45,8.74,1.39,0.38
4875.89,306.14,26.53,0.56
-320.3,140.98,36.09,0.77
-41.32,1.81,1.56,0.49
-760.98,286.85,61.76,0.78
-12.82,11.58,6.97,0.35
-105.33,14.81,13.32,0.43
1.98,37.76,12.9,0.57
-134.97,8.74,8.29,0.38
359.83,207.48,0.99,0.55
92.81,40.98,5.33,0.57
-46.35,7.45,6.28,0.4
-135.98,20.97,6.5,0.78
299.88,225.02,28.66,0.72
377.81,119.99,14,0.36
-212.51,6.48,8.4,0.37
-1183.69,79.52,48.2,0.74
-194.97,145.98,51.92,0.69
-101.85,6.48,7.86,0.37
415.85,29.17,6.27,0.37
-668.19,146.05,80.2,0.71
-492.77,125.99,5.63,0.6
207.18,22.98,7.58,0.51
-86.99,70.98,26.74,0.6
-48.57,16.98,12.39,0.35
-1508.46,81.94,55.81,0.6
13.29,8.57,3.44,0.49
-28.29,5.81,3.37,0.54
-69.87,7.45,6.28,0.4
-135.74,6.48,7.86,0.37
-6.96,12.64,4.98,0.48
54.63,30.98,11.63,0.37
-12.72,4.18,2.99,0.37
119.25,22.98,7.58,0.51
-127.23,26.31,5.89,0.75
157.89,30.56,2.99,0.35
-68.76,20.95,5.99,0.65
-205.38,6.48,8.4,0.37
-89.13,2.52,4.28,0.44
19.36,10.98,3.37,0.57
-58.18,14.03,9.37,0.56
-51.72,15.28,10.91,0.36
-2.73,52.4,16.11,0.39
1481.67,100.98,15.66,0.57
-27.49,7.35,5.96,0.38
23.94,40.99,17.48,0.36
75.61,12.64,4.98,0.48
-125.16,30.73,4,0.75
376.52,62.18,10.84,0.63
183.28,193.17,19.99,0.71
-21.89,1.98,0.7,0.83
364.03,78.69,19.99,0.43
176.09,21.98,2.87,0.55
71.04,22.24,1.99,0.43
-102.02,2.84,5.44,0.36
7.77,10.98,5.14,0.36
1.27,9.68,2.03,0.37
-3461.12,1500.97,29.7,0.57
-384.6,280.98,57,0.78
1908.45,500.98,28.14,0.38
894.06,115.99,5.92,0.58
-207.28,279.48,35,0.8
1653.96,100.97,7.18,0.46
-102.74,40.98,6.5,0.74
29.67,4.13,0.99,0.39
28.76,7.08,2.35,0.47
7434.48,500.98,28.14,0.38
67.61,40.99,17.48,0.36
-108.55,4.89,4.93,0.66
23.53,10.06,2.06,0.39
-358.43,77.51,4,0.76
314.84,45.99,4.99,0.56
-192.51,200.98,23.76,0.58
-83.16,7.68,6.16,0.35
142.51,56.96,13.22,0.56
-407.85,150.98,66.27,0.65
-76.99,15.99,13.18,0.37
598.2,46.94,6.77,0.44
-154.24,30.42,8.65,0.74
-179.36,161.55,19.99,0.66
33.18,12.95,4.98,0.4
50.24,14.45,7.17,0.38
2017.64,363.25,19.99,0.57
492.24,125.99,7.69,0.58
-117.92,7.37,5.53,0.69
48.54,4.26,1.2,0.44
-2.03,2.88,0.5,0.39
-484.64,130.98,54.74,0.69
-128.69,9.99,11.59,0.4
2998.88,177.98,0.99,0.56
219.85,39.98,9.83,0.4
1398.03,180.98,55.24,0.57
-16.11,8.67,3.5,0.58
21.46,5.98,2.5,0.36
50.44,2.88,0.5,0.36
588.54,180.98,26.2,0.59
24.61,14.45,7.17,0.38
-26.39,12.99,14.37,0.73
29.76,2.94,0.81,0.4
452.49,59.98,3.99,0.57
-15.53,8.6,6.19,0.38
196.08,699.99,24.49,0.41
-132.53,65.99,8.8,0.58
567.59,399.98,12.06,0.56
-28.45,6.48,5.74,0.37
32.69,4.28,0.94,0.56
547.48,54.48,0.99,0.57
653.06,125.99,8.99,0.59
3.92,14.27,7.27,0.38
5455.96,300.98,13.99,0.39
24.53,5.84,1.2,0.55
2357.86,400.98,42.52,0.71
-15.3,9.78,1.99,0.43
230.69,25.98,4.08,0.57
4.16,5.58,0.7,0.6
143.87,22.98,4.5,0.55
-22.21,6.24,5.22,0.6
-82.64,6.48,2.74,0.71
-248.69,289.53,19.99,0.56
126.07,50.98,14.19,0.56
78.89,18.97,9.03,0.37
-1.56,2.88,0.7,0.56
61.51,5.84,1,0.38
652.19,63.98,11.55,0.38
-6.23,22.01,5.53,0.59
1361.56,120.33,19.99,0.59
265.39,55.99,1.25,0.55
-255.22,6.84,8.37,0.58
8.27,4.55,1.49,0.35
592.22,35.99,3.3,0.39
41.56,13.99,7.51,0.39
31.59,22.01,5.53,0.59
243.16,236.97,59.24,0.61
12.31,2.88,0.7,0.56
101.82,7.64,1.39,0.36
8.6,2.84,0.93,0.54
-17.79,5.77,4.97,0.35
-7.58,161.55,19.99,0.66
4456.25,387.99,19.99,0.38
7.95,2.18,0.78,0.52
1077.92,125.99,8.8,0.59
-35.99,4.28,5.68,0.4
-6474.65,349.45,60,0.37
-177.03,8.04,8.94,0.4
-55.94,5.98,4.38,0.75
-4.43,8.85,5.6,0.36
-11.39,7.96,4.95,0.41
-159.68,34.98,7.53,0.76
27.91,19.99,11.17,0.6
